"","COU","YEAR","FOODTFAT.PROPERQT","FOODCALT.CALPERQT","FOODPROT.PROPERQT","FOODSUCR.KGPPERNB","FOODFRUI.KGPPERNB","FOODVEGE.FRVGFMTF","FOODVEGE.FRVGHOTH","FOODVEGE.FRVGTOTX","FOODFRUT.FRVGFMTF","FOODFRUT.FRVGHOTH","FOODFRUT.FRVGTOTX","ACOLALCT.LIPPERNB","TOBATBCT.GRPPERQT","TOBATBCT.NBPFUMNB","TOBATBCT.PDLSFMTF","TOBATBCT.PDLSHOTH","TOBATBCT.PDLSTOTX","TOBATBCT.YNGPPTPC","TOBATBCT.YNGPPHPH","TOBATBCT.YNGPPFPF","BODYOVSR.PERWOMTF","BODYOVSR.PERMANTH","BODYOVSR.TOTPOPTX","BODYOBSR.PERWOMTF","BODYOBSR.PERMANTH","BODYOBSR.TOTPOPTX","BODYVBSR.PERWOMTF","BODYVBSR.PERMANTH","BODYVBSR.TOTPOPTX","BODYOVMS.PERWOMTF","BODYOVMS.PERMANTH","BODYOVMS.TOTPOPTX","BODYOBMS.PERWOMTF","BODYOBMS.PERMANTH","BODYOBMS.TOTPOPTX","BODYVBMS.PERWOMTF","BODYVBMS.PERMANTH","BODYVBMS.TOTPOPTX","FOODVEGG.KGPPERNB","VAPEVAPY.VAPREGPF","VAPEVAPY.VAPREGPC","VAPEVAPY.VAPREGPH","VAPEVAPA.VAPREGPF","VAPEVAPA.VAPREGPC","VAPEVAPA.VAPREGPH","PHARMAEXP.PC_HEALTHXP","PHARMAEXP.PC_GDP","PHARMAEXP.USD_CAP","HRWKD.HR_WKD","MNTDISORDSHR.PC_POBL"
"1","AUS",2005,137.3,3099,104.9,46.8,108.1,NA,NA,NA,NA,NA,NA,10.5,1219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,NA,NA,NA,NA,NA,NA,15.218,1.216,437.125,1808,18.19619138
"2","AUS",2006,143.4,3156,104.6,46.4,100.7,NA,NA,NA,NA,NA,NA,10.8,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,NA,NA,NA,NA,NA,NA,15.276,1.22,457.494,1802,18.17163762
"3","AUS",2007,143.9,3198,108.3,47.4,105.2,99,99,99,95,92,94,10.8,1201,13.9,15.4,18.3,16.9,13.4,13.9,12.9,28,41,34.6,20.3,22.3,21.3,48.3,63.3,56,31,42.2,36.7,23.6,25.5,24.6,54.7,67.7,61.2,99.7,NA,NA,NA,NA,NA,NA,15.201,1.226,486.056,1803,18.14013497
"4","AUS",2008,141,3199,106.5,47,101.6,NA,NA,NA,NA,NA,NA,10.8,1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.3,NA,NA,NA,NA,NA,NA,15.412,1.272,516.333,1799,18.11224713
"5","AUS",2009,143.6,3205,103.3,45.9,98.7,NA,NA,NA,NA,NA,NA,10.7,1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,15.535,1.33,531.598,1767,18.0700069
"6","AUS",2010,145.9,3213,103.8,46.1,100,NA,NA,NA,NA,NA,NA,10.4,1009,15.9,14.1,16.6,15.3,12.6,13.2,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,NA,NA,NA,NA,NA,NA,15.63,1.318,561.931,1778,18.04403064
"7","AUS",2011,148.6,3237,105.9,46.5,94.9,100,99,99,95,93,94,10.2,971.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,41.9,35,28.2,28.4,28.3,56.2,70.3,63.4,95.8,NA,NA,NA,NA,NA,NA,15.311,1.308,583.222,1774,18.00562541
"8","AUS",2012,152.4,3257,104.5,45.9,91.5,NA,NA,NA,NA,NA,NA,10,964.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9,NA,NA,NA,NA,NA,NA,15.308,1.328,589.993,1771,17.98488454
"9","AUS",2013,150.9,3276,106.3,46.1,88.2,NA,NA,NA,NA,NA,NA,9.9,916.1,13.7,11.3,14.7,13,11.3,12.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.8,NA,NA,NA,NA,NA,NA,14.984,1.313,613.247,1766,17.94983809
"10","AUS",2014,155.6,3407,107.3,61.8,71.7,99,99,99,96,93,95,9.7,830.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,42.4,35.5,27.4,28.4,27.9,56.3,70.8,63.4,86.7,NA,NA,NA,NA,NA,NA,14.388,1.3,602.887,1755,17.90478661
