"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2005","2005",137.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2006","2006",143.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2007","2007",143.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2008","2008",141,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2009","2009",143.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2010","2010",145.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2011","2011",148.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2012","2012",152.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2013","2013",150.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2014","2014",155.6,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2015","2015",156.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2016","2016",157.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2017","2017",157.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","2018","2018",157.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2005","2005",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2006","2006",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2007","2007",162.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2008","2008",161.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2009","2009",167.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2010","2010",170.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2011","2011",166.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2012","2012",167.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2013","2013",170.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2014","2014",162.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2015","2015",163.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2016","2016",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2017","2017",165.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUT","Austria","2018","2018",166.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2005","2005",163.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2006","2006",163.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2007","2007",165.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2008","2008",162.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2009","2009",159.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2010","2010",161.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2011","2011",167.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2012","2012",161.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2013","2013",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2014","2014",161.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2015","2015",166.6,,
