"","COU","YEAR","FOODTFAT.PROPERQT","FOODCALT.CALPERQT","FOODPROT.PROPERQT","FOODSUCR.KGPPERNB","FOODFRUI.KGPPERNB","ACOLALCT.LIPPERNB","FOODVEGG.KGPPERNB","PHARMAEXP.PC_GDP","HRWKD.HR_WKD","MNTDISORDSHR.PC_POBL"
"1","AUS",2005,137.3,3099,104.9,46.8,108.1,10.5,97.8,1.216,1808,18.19619138
"2","AUS",2006,143.4,3156,104.6,46.4,100.7,10.8,97.5,1.22,1802,18.17163762
"3","AUS",2007,143.9,3198,108.3,47.4,105.2,10.8,99.7,1.226,1803,18.14013497
"4","AUS",2008,141,3199,106.5,47,101.6,10.8,102.3,1.272,1799,18.11224713
"5","AUS",2009,143.6,3205,103.3,45.9,98.7,10.7,97,1.33,1767,18.0700069
"6","AUS",2010,145.9,3213,103.8,46.1,100,10.4,97.8,1.318,1778,18.04403064
"7","AUS",2011,148.6,3237,105.9,46.5,94.9,10.2,95.8,1.308,1774,18.00562541
"8","AUS",2012,152.4,3257,104.5,45.9,91.5,10,99.9,1.328,1771,17.98488454
"9","AUS",2013,150.9,3276,106.3,46.1,88.2,9.9,102.8,1.313,1766,17.94983809
"10","AUS",2014,155.6,3407,107.3,61.8,71.7,9.7,86.7,1.3,1755,17.90478661
"11","AUS",2015,156.7,3393,109.6,60.5,71.6,9.8,90.4,1.352,1751,17.85192927
"12","AUS",2016,157.6,3416,110.2,60,78.2,9.5,93.3,1.395,1739,17.82295457
"13","AUT",2005,152.3,3640,102.7,49.6,143.7,12.6,93.1,1.274,1632,14.49833169
"14","AUT",2006,162.3,3719,101.5,48.8,144.1,12.9,94.8,1.265,1617,14.49278321
"15","AUT",2007,162.8,3737,103.7,46.9,149.7,12.9,95.9,1.286,1606,14.48164186
"16","AUT",2008,161.9,3717,101.8,48.8,156.7,12.4,101.8,1.306,1599,14.47924113
"17","AUT",2009,167.8,3723,102.4,46.8,130.5,12.1,101.2,1.265,1558,14.45264733
